id,name,address,phone,email,website,head_of_department
1,"Dipartimento di Biologia","Via Milani 8 Appartamento 02","+03 8952 1711580",biologia@uni.it,www.biologia.uni.it,"Gilda Romano"
2,"Dipartimento di Fisica e astronomia","Strada Barbieri 57","367 410 378",fisica-e-astronomia@uni.it,www.fisica-e-astronomia.uni.it,"Dott. Deborah De Santis"
3,"Dipartimento di Ingegneria civile, edile e ambientale","Strada Pablo 85 Appartamento 75","+54 35 36896630",ingegneria-civile-edile-e-ambientale@uni.it,www.ingegneria-civile-edile-e-ambientale.uni.it,"Olimpia D'amico"
4,"Dipartimento di Ingegneria dell'informazione","Borgo De luca 877 Appartamento 28","+39 091 353 730",ingegneria-dellinformazione@uni.it,www.ingegneria-dellinformazione.uni.it,"Ing. Marzio Gatti"
5,"Dipartimento di Matematica","Via Cosetta 5","+84 63 00392338",matematica@uni.it,www.matematica.uni.it,"Sig. Alessandro Orlando"
6,"Dipartimento di Medicina","Rotonda Pagano 59","+15 8928 3017622",medicina@uni.it,www.medicina.uni.it,"Lisa Farina"
7,"Dipartimento di Neuroscienze","Borgo Ubaldo 181 Appartamento 41","+32 6290 01889948",neuroscienze@uni.it,www.neuroscienze.uni.it,"Dante Lombardi"
8,"Dipartimento di Scienze chimiche","Strada Gatti 943 Appartamento 49","+94 833 74282438",scienze-chimiche@uni.it,www.scienze-chimiche.uni.it,"Jole Benedetti"
9,"Dipartimento di Scienze economiche e aziendali","Piazza Sibilla 876 Appartamento 03","+80 092 00 17 3967",scienze-economiche-e-aziendali@uni.it,www.scienze-economiche-e-aziendali.uni.it,"Selvaggia De Angelis"
10,"Dipartimento di Scienze politiche, giuridiche e studi internazionali","Strada Gelsomina 295","+59 862 14592149",scienze-politiche-giuridiche-e-studi-internazionali@uni.it,www.scienze-politiche-giuridiche-e-studi-internazionali.uni.it,"Bernardo Sanna"
11,"Dipartimento di Scienze statistiche","Contrada Valentini 577","+39 034 983 279",scienze-statistiche@uni.it,www.scienze-statistiche.uni.it,"Lauro Barone"
12,"Dipartimento di Studi linguistici e letterari","Borgo Ricci 140 Piano 9","+50 14 37174267",studi-linguistici-e-letterari@uni.it,www.studi-linguistici-e-letterari.uni.it,"Dott. Ludovico Marino"
